"artista","fecha","visitas"
"Ella Baila Sola","2019-02-28",107
"Ella Baila Sola","2019-03-01",144
"Ella Baila Sola","2019-03-02",180
"Ella Baila Sola","2019-03-03",191
"Ella Baila Sola","2019-03-04",107
"Ella Baila Sola","2019-03-05",111
"Ella Baila Sola","2019-03-06",119
"Ella Baila Sola","2019-03-07",106
"Ella Baila Sola","2019-03-08",100
"Ella Baila Sola","2019-03-09",85
"Ella Baila Sola","2019-03-10",132
"Ella Baila Sola","2019-03-11",108
"Ella Baila Sola","2019-03-12",104
"Ella Baila Sola","2019-03-13",69
"Ella Baila Sola","2019-03-14",106
"Ella Baila Sola","2019-03-15",131
"Ella Baila Sola","2019-03-16",82
"Ella Baila Sola","2019-03-17",148
"Ella Baila Sola","2019-03-18",126
"Ella Baila Sola","2019-03-19",104
"Ella Baila Sola","2019-03-20",109
"Ella Baila Sola","2019-03-21",102
"Ella Baila Sola","2019-03-22",253
"Ella Baila Sola","2019-03-23",176
"Ella Baila Sola","2019-03-24",166
"Ella Baila Sola","2019-03-25",203
"Ella Baila Sola","2019-03-26",114
"Ella Baila Sola","2019-03-27",127
"Ella Baila Sola","2019-03-28",105
"Ella Baila Sola","2019-03-29",132
"Ella Baila Sola","2019-03-30",99
"Ella Baila Sola","2019-03-31",107
"Ella Baila Sola","2019-04-01",105
"Ella Baila Sola","2019-04-02",119
"Ella Baila Sola","2019-04-03",140
"Ella Baila Sola","2019-04-04",114
"Ella Baila Sola","2019-04-05",99
"Ella Baila Sola","2019-04-06",107
"Ella Baila Sola","2019-04-07",103
"Ella Baila Sola","2019-04-08",120
"Ella Baila Sola","2019-04-09",111
"Ella Baila Sola","2019-04-10",107
"Ella Baila Sola","2019-04-11",122
"Ella Baila Sola","2019-04-12",93
"Ella Baila Sola","2019-04-13",114
"Ella Baila Sola","2019-04-14",108
"Ella Baila Sola","2019-04-15",95
"Ella Baila Sola","2019-04-16",132
"Ella Baila Sola","2019-04-17",90
"Ella Baila Sola","2019-04-18",133
"Ella Baila Sola","2019-04-19",117
"Ella Baila Sola","2019-04-20",115
"Ella Baila Sola","2019-04-21",144
"Ella Baila Sola","2019-04-22",155
"Ella Baila Sola","2019-04-23",116
"Ella Baila Sola","2019-04-24",95
"Ella Baila Sola","2019-04-25",105
"Ella Baila Sola","2019-04-26",113
"Ella Baila Sola","2019-04-27",116
"Ella Baila Sola","2019-04-28",137
"Ella Baila Sola","2019-04-29",114
"Ella Baila Sola","2019-04-30",79
"Ella Baila Sola","2019-05-01",127
"Ella Baila Sola","2019-05-02",167
"Ella Baila Sola","2019-05-03",416
"Ella Baila Sola","2019-05-04",158
"Ella Baila Sola","2019-05-05",699
"Ella Baila Sola","2019-05-06",150
"Ella Baila Sola","2019-05-07",134
"Ella Baila Sola","2019-05-08",193
"Ella Baila Sola","2019-05-09",181
"Ella Baila Sola","2019-05-10",155
"Ella Baila Sola","2019-05-11",129
"Ella Baila Sola","2019-05-12",137
"Ella Baila Sola","2019-05-13",138
"Ella Baila Sola","2019-05-14",127
"Ella Baila Sola","2019-05-15",350
"Ella Baila Sola","2019-05-16",196
"Ella Baila Sola","2019-05-17",128
"Ella Baila Sola","2019-05-18",147
"Ella Baila Sola","2019-05-19",156
"Ella Baila Sola","2019-05-20",126
"Ella Baila Sola","2019-05-21",228
"Ella Baila Sola","2019-05-22",122
"Ella Baila Sola","2019-05-23",115
"Ella Baila Sola","2019-05-24",115
"Ella Baila Sola","2019-05-25",121
"Ella Baila Sola","2019-05-26",122
"Ella Baila Sola","2019-05-27",72
"Ella Baila Sola","2019-05-28",474
"Ella Baila Sola","2019-05-29",120
"Ella Baila Sola","2019-05-30",153
"Ella Baila Sola","2019-05-31",117
"Ella Baila Sola","2019-06-01",116
"Ella Baila Sola","2019-06-02",111
"Ella Baila Sola","2019-06-03",101
"Ella Baila Sola","2019-06-04",76
