"artista","fecha","visitas"
"Emilio Aragón","2019-02-21",1780
"Emilio Aragón","2019-02-22",486
"Emilio Aragón","2019-02-23",246
"Emilio Aragón","2019-02-24",295
"Emilio Aragón","2019-02-25",236
"Emilio Aragón","2019-02-26",272
"Emilio Aragón","2019-02-27",263
"Emilio Aragón","2019-02-28",256
"Emilio Aragón","2019-03-01",561
"Emilio Aragón","2019-03-02",224
"Emilio Aragón","2019-03-03",319
"Emilio Aragón","2019-03-04",351
"Emilio Aragón","2019-03-05",227
"Emilio Aragón","2019-03-06",182
"Emilio Aragón","2019-03-07",185
"Emilio Aragón","2019-03-08",217
"Emilio Aragón","2019-03-09",191
"Emilio Aragón","2019-03-10",285
"Emilio Aragón","2019-03-11",225
"Emilio Aragón","2019-03-12",285
"Emilio Aragón","2019-03-13",234
"Emilio Aragón","2019-03-14",265
"Emilio Aragón","2019-03-15",369
"Emilio Aragón","2019-03-16",252
"Emilio Aragón","2019-03-17",279
"Emilio Aragón","2019-03-18",198
"Emilio Aragón","2019-03-19",211
"Emilio Aragón","2019-03-20",209
"Emilio Aragón","2019-03-21",219
"Emilio Aragón","2019-03-22",257
"Emilio Aragón","2019-03-23",237
"Emilio Aragón","2019-03-24",361
"Emilio Aragón","2019-03-25",251
"Emilio Aragón","2019-03-26",402
"Emilio Aragón","2019-03-27",450
"Emilio Aragón","2019-03-28",276
"Emilio Aragón","2019-03-29",187
"Emilio Aragón","2019-03-30",294
"Emilio Aragón","2019-03-31",267
"Emilio Aragón","2019-04-01",220
"Emilio Aragón","2019-04-02",210
"Emilio Aragón","2019-04-03",154
"Emilio Aragón","2019-04-04",285
"Emilio Aragón","2019-04-05",218
"Emilio Aragón","2019-04-06",365
"Emilio Aragón","2019-04-07",382
"Emilio Aragón","2019-04-08",473
"Emilio Aragón","2019-04-09",522
"Emilio Aragón","2019-04-10",379
"Emilio Aragón","2019-04-11",368
"Emilio Aragón","2019-04-12",287
"Emilio Aragón","2019-04-13",289
"Emilio Aragón","2019-04-14",361
"Emilio Aragón","2019-04-15",339
"Emilio Aragón","2019-04-16",767
"Emilio Aragón","2019-04-17",635
"Emilio Aragón","2019-04-18",293
"Emilio Aragón","2019-04-19",429
"Emilio Aragón","2019-04-20",397
"Emilio Aragón","2019-04-21",328
"Emilio Aragón","2019-04-22",327
"Emilio Aragón","2019-04-23",291
"Emilio Aragón","2019-04-24",371
"Emilio Aragón","2019-04-25",246
"Emilio Aragón","2019-04-26",225
"Emilio Aragón","2019-04-27",377
"Emilio Aragón","2019-04-28",293
"Emilio Aragón","2019-04-29",1525
"Emilio Aragón","2019-04-30",2300
"Emilio Aragón","2019-05-01",1407
"Emilio Aragón","2019-05-02",749
"Emilio Aragón","2019-05-03",693
"Emilio Aragón","2019-05-04",610
"Emilio Aragón","2019-05-05",543
"Emilio Aragón","2019-05-06",309
"Emilio Aragón","2019-05-07",306
"Emilio Aragón","2019-05-08",243
"Emilio Aragón","2019-05-09",233
"Emilio Aragón","2019-05-10",236
"Emilio Aragón","2019-05-11",275
"Emilio Aragón","2019-05-12",289
"Emilio Aragón","2019-05-13",213
"Emilio Aragón","2019-05-14",205
"Emilio Aragón","2019-05-15",261
"Emilio Aragón","2019-05-16",225
"Emilio Aragón","2019-05-17",297
"Emilio Aragón","2019-05-18",299
"Emilio Aragón","2019-05-19",266
"Emilio Aragón","2019-05-20",221
"Emilio Aragón","2019-05-21",831
"Emilio Aragón","2019-05-22",1786
"Emilio Aragón","2019-05-23",297
"Emilio Aragón","2019-05-24",3919
"Emilio Aragón","2019-05-25",478
"Emilio Aragón","2019-05-26",327
"Emilio Aragón","2019-05-27",289
"Emilio Aragón","2019-05-28",258
