"artista","fecha","visitas"
"Enrique Iglesias","2019-02-21",1544
"Enrique Iglesias","2019-02-22",3837
"Enrique Iglesias","2019-02-23",1624
"Enrique Iglesias","2019-02-24",1534
"Enrique Iglesias","2019-02-25",1178
"Enrique Iglesias","2019-02-26",1131
"Enrique Iglesias","2019-02-27",1162
"Enrique Iglesias","2019-02-28",1465
"Enrique Iglesias","2019-03-01",1140
"Enrique Iglesias","2019-03-02",1142
"Enrique Iglesias","2019-03-03",1253
"Enrique Iglesias","2019-03-04",1093
"Enrique Iglesias","2019-03-05",1028
"Enrique Iglesias","2019-03-06",985
"Enrique Iglesias","2019-03-07",1088
"Enrique Iglesias","2019-03-08",1078
"Enrique Iglesias","2019-03-09",1329
"Enrique Iglesias","2019-03-10",1208
"Enrique Iglesias","2019-03-11",1071
"Enrique Iglesias","2019-03-12",915
"Enrique Iglesias","2019-03-13",1214
"Enrique Iglesias","2019-03-14",1358
"Enrique Iglesias","2019-03-15",1486
"Enrique Iglesias","2019-03-16",1355
"Enrique Iglesias","2019-03-17",1605
"Enrique Iglesias","2019-03-18",1461
"Enrique Iglesias","2019-03-19",1881
"Enrique Iglesias","2019-03-20",1252
"Enrique Iglesias","2019-03-21",1332
"Enrique Iglesias","2019-03-22",1851
"Enrique Iglesias","2019-03-23",1352
"Enrique Iglesias","2019-03-24",1745
"Enrique Iglesias","2019-03-25",1523
"Enrique Iglesias","2019-03-26",1335
"Enrique Iglesias","2019-03-27",1448
"Enrique Iglesias","2019-03-28",1612
"Enrique Iglesias","2019-03-29",1688
"Enrique Iglesias","2019-03-30",2009
"Enrique Iglesias","2019-03-31",2615
"Enrique Iglesias","2019-04-01",1621
"Enrique Iglesias","2019-04-02",1487
"Enrique Iglesias","2019-04-03",1402
"Enrique Iglesias","2019-04-04",1535
"Enrique Iglesias","2019-04-05",1471
"Enrique Iglesias","2019-04-06",1724
"Enrique Iglesias","2019-04-07",1879
"Enrique Iglesias","2019-04-08",1464
"Enrique Iglesias","2019-04-09",1283
"Enrique Iglesias","2019-04-10",1260
"Enrique Iglesias","2019-04-11",1407
"Enrique Iglesias","2019-04-12",1207
"Enrique Iglesias","2019-04-13",1416
"Enrique Iglesias","2019-04-14",1278
"Enrique Iglesias","2019-04-15",1117
"Enrique Iglesias","2019-04-16",957
"Enrique Iglesias","2019-04-17",1159
"Enrique Iglesias","2019-04-18",1154
"Enrique Iglesias","2019-04-19",2213
"Enrique Iglesias","2019-04-20",1393
"Enrique Iglesias","2019-04-21",1337
"Enrique Iglesias","2019-04-22",1150
"Enrique Iglesias","2019-04-23",1132
"Enrique Iglesias","2019-04-24",1089
"Enrique Iglesias","2019-04-25",1046
"Enrique Iglesias","2019-04-26",1211
"Enrique Iglesias","2019-04-27",1115
"Enrique Iglesias","2019-04-28",1259
"Enrique Iglesias","2019-04-29",890
"Enrique Iglesias","2019-04-30",981
"Enrique Iglesias","2019-05-01",1133
"Enrique Iglesias","2019-05-02",1078
"Enrique Iglesias","2019-05-03",1124
"Enrique Iglesias","2019-05-04",1178
"Enrique Iglesias","2019-05-05",1402
"Enrique Iglesias","2019-05-06",1212
"Enrique Iglesias","2019-05-07",1416
"Enrique Iglesias","2019-05-08",2955
"Enrique Iglesias","2019-05-09",1767
"Enrique Iglesias","2019-05-10",1483
"Enrique Iglesias","2019-05-11",1336
"Enrique Iglesias","2019-05-12",1323
"Enrique Iglesias","2019-05-13",1049
"Enrique Iglesias","2019-05-14",982
"Enrique Iglesias","2019-05-15",1059
"Enrique Iglesias","2019-05-16",1061
"Enrique Iglesias","2019-05-17",1054
"Enrique Iglesias","2019-05-18",1257
"Enrique Iglesias","2019-05-19",1302
"Enrique Iglesias","2019-05-20",956
"Enrique Iglesias","2019-05-21",1173
"Enrique Iglesias","2019-05-22",1005
"Enrique Iglesias","2019-05-23",1023
"Enrique Iglesias","2019-05-24",1090
"Enrique Iglesias","2019-05-25",1142
"Enrique Iglesias","2019-05-26",2292
"Enrique Iglesias","2019-05-27",1367
"Enrique Iglesias","2019-05-28",1434
